disease,symptom,disease_occurrence,symptom_rank
C0008350,C0878661,61,7
C0008350,C0003962,61,6
C0008350,C0205400,61,5
C0008350,C0234233,61,4
C0008350,C0011991,61,3
C0008350,C0277797,61,2
C0008350,C0030252,61,1
C0039239,C0238705,56,11
C0039239,C0700590,56,10
C0039239,C0556346,56,9
C0039239,C0438716,56,8
C0039239,C0241158,56,7
C0039239,C0425560,56,6
C0039239,C0149746,56,5
C0039239,C0392680,56,4
C0039239,C0520888,56,3
C0039239,C0042963,56,2
C0039239,C0000737,56,1
C1258215,C0549483,56,15
C1258215,C0000727,56,14
C1258215,C0740844,56,13
C1258215,C0425491,56,12
C1258215,C0232498,56,11
C1258215,C0027497,56,10
C1258215,C0234233,56,9
C1258215,C0016204,56,8
C1258215,C0011991,56,7
C1258215,C0577559,56,6
C1258215,C0277797,56,5
C1258215,C0009806,56,4
C1258215,C0205400,56,3
C1258215,C0232995,56,2
C1258215,C0000737,56,1
C0001511,C0016204,57,13
C0001511,C0030193,57,12
C0001511,C0456091,57,11
C0001511,C0233070,57,10
C0001511,C0042963,57,9
C0001511,C0034079,57,8
C0001511,C0006157,57,7
C0001511,C0392680,57,6
C0001511,C0043096,57,5
C0001511,C0231441,57,4
C0001511,C1273573,57,3
C0001511,C0233763,57,2
C0001511,C0424000,57,1
C0011253,C0240233,56,21
C0011253,C0392701,56,20
C0011253,C0150041,56,19
C0011253,C0085631,56,18
C0011253,C0233762,56,17
C0011253,C0022107,56,16
C0011253,C0917801,56,15
C0011253,C0233647,56,14
C0011253,C0455204,56,13
C0011253,C0578859,56,12
C0011253,C0233481,56,11
C0011253,C0231187,56,10
C0011253,C0558089,56,9
C0011253,C0007398,56,8
C0011253,C0438696,56,7
C0011253,C0558261,56,6
C0011253,C0312422,56,5
C0011253,C0424109,56,4
C0011253,C0338656,56,3
C0011253,C0022107,56,2
C0011253,C0085631,56,1
C0233472,C0277794,45,8
C0233472,C0917801,45,7
C0233472,C0014394,45,6
C0233472,C0376405,45,5
C0233472,C0150041,45,4
C0233472,C0233763,45,3
C0233472,C0425251,45,2
C0233472,C0242453,45,1
C0011127,C0232257,42,3
C0011127,C0871754,42,2
C0011127,C0015967,42,1
